itemId,name,description,price,color,category,popularity,durability
1,Dress,Essential for your wardrobe.,16.11,Indigo,Unisex Clothing,2,5
2,Belt,Affordable and durable.,90.78,Orange,Men's Clothing,6,6
3,Hoodie,Trendy and fashionable.,28.17,Blue,Accessories,5,10
4,Belt,Made from premium materials.,32.55,Red,Women's Clothing,5,1
5,Hat,Elegant and chic.,53.54,Violet,Unisex Clothing,9,6
6,Hat,Perfect for any occasion.,97.09,Green,Unisex Clothing,3,5
7,Dress,Affordable and durable.,82.04,Yellow,Unisex Clothing,4,3
8,T-Shirt,A comfortable and stylish piece.,81.11,Blue,Accessories,5,10
9,Sunglasses,High quality and durable.,70.97,Violet,Women's Clothing,6,5
10,Hoodie,Trendy and fashionable.,96.69,Yellow,Unisex Clothing,5,5
11,Belt,Made from premium materials.,44.16,Blue,Unisex Clothing,3,9
12,Jeans,Essential for your wardrobe.,93.03,Orange,Women's Clothing,1,3
13,Hat,Made from premium materials.,67.95,Yellow,Accessories,6,5
14,Hat,Perfect for any occasion.,69.77,Orange,Men's Clothing,9,9
15,Hat,Essential for your wardrobe.,55.32,Blue,Unisex Clothing,8,5
16,Hat,High quality and durable.,12.5,Green,Men's Clothing,4,5
17,Shoes,Essential for your wardrobe.,17.99,Yellow,Accessories,2,4
18,Hoodie,A comfortable and stylish piece.,52.77,Green,Unisex Clothing,9,8
19,T-Shirt,Affordable and durable.,55.25,Orange,Men's Clothing,9,9
20,Blouse,A comfortable and stylish piece.,44.01,Blue,Women's Clothing,7,2
21,Sunglasses,Made from premium materials.,67.51,Violet,Men's Clothing,10,5
22,Shoes,A great addition to your collection.,20.19,Violet,Accessories,10,9
23,Dress,Trendy and fashionable.,45.52,Blue,Women's Clothing,4,6
24,Dress,Essential for your wardrobe.,97.75,Blue,Unisex Clothing,3,5
25,Blouse,A comfortable and stylish piece.,36.2,Green,Unisex Clothing,3,10
26,T-Shirt,Essential for your wardrobe.,42.4,Yellow,Men's Clothing,3,5
27,Sunglasses,Made from premium materials.,66.46,Yellow,Women's Clothing,9,4
28,Jeans,Perfect for any occasion.,89.53,Yellow,Accessories,4,7
29,Hoodie,Perfect for any occasion.,72.71,Orange,Men's Clothing,9,1
30,Hoodie,Essential for your wardrobe.,56.02,Blue,Accessories,1,5
31,Shoes,Versatile and practical.,42.89,Indigo,Accessories,6,9
32,T-Shirt,A comfortable and stylish piece.,41.33,Violet,Accessories,4,5
33,Hoodie,Elegant and chic.,41.23,Blue,Men's Clothing,1,6
34,Sunglasses,Essential for your wardrobe.,84.04,Yellow,Accessories,4,3
35,Hoodie,Elegant and chic.,56.05,Indigo,Men's Clothing,6,8
36,Jeans,A comfortable and stylish piece.,80.33,Indigo,Unisex Clothing,7,8
37,Dress,Affordable and durable.,34.7,Indigo,Accessories,3,1
38,Blouse,High quality and durable.,31.43,Green,Accessories,8,2
39,Handbag,Made from premium materials.,27.04,Yellow,Men's Clothing,5,6
40,Belt,Trendy and fashionable.,92.87,Violet,Women's Clothing,9,7
41,T-Shirt,Made from premium materials.,35.65,Orange,Men's Clothing,8,2
42,Dress,Essential for your wardrobe.,21.55,Orange,Men's Clothing,2,5
43,Hoodie,A great addition to your collection.,25.4,Yellow,Women's Clothing,10,4
44,Blouse,A great addition to your collection.,22.57,Red,Accessories,10,10
45,Handbag,A comfortable and stylish piece.,32.18,Red,Men's Clothing,2,8
46,Dress,A great addition to your collection.,17.58,Blue,Unisex Clothing,1,6
47,Hoodie,A comfortable and stylish piece.,87.42,Green,Men's Clothing,9,10
48,Blouse,A great addition to your collection.,61.16,Green,Women's Clothing,8,10
49,Belt,Versatile and practical.,36.91,Indigo,Unisex Clothing,8,8
50,T-Shirt,A great addition to your collection.,23.81,Indigo,Men's Clothing,1,9
51,T-Shirt,High quality and durable.,97.58,Violet,Unisex Clothing,7,10
52,Blouse,A great addition to your collection.,66.55,Yellow,Accessories,5,9
53,Handbag,Essential for your wardrobe.,41.81,Red,Unisex Clothing,4,2
54,Hoodie,Perfect for any occasion.,28.31,Violet,Women's Clothing,6,6
55,T-Shirt,Affordable and durable.,94.3,Red,Women's Clothing,9,10
56,Handbag,Made from premium materials.,49.41,Blue,Men's Clothing,9,9
57,T-Shirt,Trendy and fashionable.,28.24,Indigo,Men's Clothing,6,1
58,Handbag,Versatile and practical.,74.98,Red,Accessories,7,2
59,Handbag,Perfect for any occasion.,47.2,Violet,Women's Clothing,8,8
60,Blouse,A comfortable and stylish piece.,63.11,Green,Accessories,2,5
61,Hoodie,A comfortable and stylish piece.,46.18,Orange,Accessories,7,4
62,Sunglasses,Elegant and chic.,25.65,Red,Accessories,2,9
63,Hoodie,Trendy and fashionable.,98.66,Green,Accessories,4,3
64,Blouse,High quality and durable.,22.01,Violet,Men's Clothing,6,2
65,Handbag,Trendy and fashionable.,10.63,Violet,Unisex Clothing,2,7
66,Shoes,Affordable and durable.,92.48,Violet,Women's Clothing,2,8
67,Sunglasses,High quality and durable.,99.79,Yellow,Accessories,10,4
68,Hoodie,Essential for your wardrobe.,21.74,Red,Accessories,7,4
69,Handbag,Elegant and chic.,70.96,Orange,Men's Clothing,10,3
70,Handbag,High quality and durable.,61.13,Indigo,Unisex Clothing,5,5
71,T-Shirt,Versatile and practical.,63.82,Yellow,Accessories,4,7
72,Sunglasses,Trendy and fashionable.,21.4,Blue,Women's Clothing,4,9
73,Belt,Affordable and durable.,26.85,Yellow,Accessories,9,8
74,T-Shirt,Affordable and durable.,95.45,Indigo,Men's Clothing,10,7
75,Jeans,A comfortable and stylish piece.,62.23,Orange,Accessories,9,2
76,T-Shirt,Made from premium materials.,25.79,Yellow,Accessories,10,10
77,Hoodie,Essential for your wardrobe.,92.76,Indigo,Men's Clothing,1,4
78,T-Shirt,Affordable and durable.,90.95,Orange,Accessories,5,10
79,Handbag,A great addition to your collection.,88.26,Indigo,Unisex Clothing,9,2
80,Shoes,A comfortable and stylish piece.,90.63,Green,Unisex Clothing,10,2
81,Belt,High quality and durable.,36.11,Green,Men's Clothing,1,2
